Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	26.89407872685046	-0.014459835355054906
102.32929922807536	26.894964431505986	-0.040989399912291447
104.71285480508996	26.899185937356634	-0.043378623709289243
107.15193052376058	26.901588083107132	-0.0013391960742694664
109.64781961431852	26.898871597256957	-0.032167058016057126
112.2018454301963	26.895230341473223	-0.005398113522630865
114.8153621496883	26.889888672936696	0.022610244549099434
117.48975549395291	26.89414144195851	-0.01209613078861338
120.22644346174131	26.901167289527784	-0.02556483580251978
123.02687708123811	26.89433070575587	-0.04975060494494521
125.89254117941674	26.89570438802512	-0.09590729097003425
128.82495516931337	26.897416542569516	-0.0011297930292357705
131.82567385564073	26.887689450637374	-0.019450592956559376
134.89628825916535	26.905297003149542	0.008128214085605379
138.03842646028852	26.896668587055675	-0.046591633793688914
141.2537544622754	26.90080531656793	-0.0026272758251195683
144.5439770745928	26.893699145234116	-0.028517239493254465
147.91083881682073	26.88533952817643	-0.04005778976652152
151.35612484362088	26.89584169546105	-0.002077954902148349
154.88166189124811	26.901057028742855	0.017905506400490268
158.48931924611142	26.883715880890044	0.011748019462658021
162.18100973589299	26.888558356130726	-0.010866569834270479
165.95869074375616	26.891417347117166	-0.02179953931991463
169.82436524617444	26.887697527717165	-0.04494729563509736
173.78008287493762	26.89038567513741	-0.01837819465779944
177.82794100389228	26.89911163391414	0.009904198744735027
181.97008586099827	26.894519993751516	-0.08228706668433006
186.20871366628677	26.899969963884722	-0.005222869702350863
190.5460717963248	26.897157280348786	-0.018098280899934593
194.98445997580455	26.89542203634836	-0.018626422432511447
199.52623149688787	26.89074280708732	-0.027722809620343014
204.17379446695296	26.895574991243663	-0.021318221139003057
208.92961308540387	26.91247479506535	-0.055805889110544626
213.79620895022325	26.89903475805718	-0.043819230350237603
218.77616239495518	26.899031635212193	-0.13321899305758222
223.872113856834	26.886835215956616	-0.040812972734720177
229.08676527677724	26.889659974164783	-0.07101329570872394
234.42288153199226	26.89436532456184	-0.06194526322227034
239.88329190194898	26.89526337454723	-0.031468866265782935
245.47089156850313	26.8994445345834	-0.027818867527166447
251.18864315095794	26.902595231855347	-0.0739963913081425
257.03957827688646	26.90016134713149	-0.08187010583621657
263.02679918953817	26.90340183285743	-0.1106935218137961
269.1534803926917	26.894399192559394	-0.05171444818915916
