Vs	Is
4.0	0.005365333519876
4.1	0.00536983832716942
4.2	0.00537483068183064
4.3	0.00537942722439766
4.4	0.00538455508649349
4.5	0.00538981985300779
4.6	0.0053960676304996
4.7	0.00540153728798032
4.8	0.00540798390284181
4.9	0.005414217710495
5.0	0.00542118586599827
5.1	0.00542830489575863
5.2	0.00543576013296843
5.3	0.00544307706877589
5.4	0.00544988224282861
5.5	0.00545969372615218
5.6	0.00546625815331936
5.7	0.00547394249588251
5.8	0.00548240169882774
5.9	0.00549073703587055
6.0	0.00549835804849863
6.1	0.00550619373098016
6.2	0.00551431113854051
6.3	0.00552272936329246
6.4	0.00553320394828916
6.5	0.00553933950141072
6.6	0.00554803386330605
6.7	0.00555656431242824
6.8	0.00556513713672757
6.9	0.00557381566613913
7.0	0.00558231677860022
7.1	0.0055916104465723
7.2	0.00560026522725821
7.3	0.0056090229190886
7.4	0.00561799248680472
7.5	0.00562723260372877
7.6	0.0056363963522017
7.7	0.0056453519500792
7.8	0.0056547112762928
7.9	0.00566388014703989
8.0	0.00567303411662579
8.1	0.00568247493356466
8.2	0.00569186545908451
8.3	0.00570155680179596
8.4	0.00571121694520116
8.5	0.00571984285488725
8.6	0.00573048740625381
8.7	0.00573905371129513
8.8	0.00574919581413269
8.9	0.00575916050001979
9.0	0.00576851749792695
9.1	0.00577809289097786
9.2	0.00578821590170264
9.3	0.0057983105070889
9.4	0.00580830918624997
9.5	0.00581834139302373
9.6	0.00582717685028911
9.7	0.00583767425268888
9.8	0.00584762264043093
9.9	0.00585802504792809
10.0	0.00586833246052265
10.1	0.00587875256314874
10.2	0.00588897243142128
10.3	0.00589883280918002
10.4	0.00590967014431953
10.5	0.00591940386220813
10.6	0.00592971500009298
10.7	0.00594031205400825
10.8	0.00595075497403741
10.9	0.00596113363280892
11.0	0.00597209390252829
11.1	0.00598332239314914
11.2	0.00599336298182607
11.3	0.00600388739258051
11.4	0.00601464649662375
11.5	0.00602549221366644
11.6	0.00603618565946817
11.7	0.00604687770828605
11.8	0.00605572108179331
11.9	0.00606710277497768
12.0	0.00607785675674677
Vs	Is
4.0	0.005359988193959
4.1	0.00536337541416287
4.2	0.00536791887134314
4.3	0.00537371262907982
4.4	0.00537873990833759
4.5	0.0053842575289309
4.6	0.00539036514237523
4.7	0.00539642386138439
4.8	0.00540270796045661
4.9	0.00540906330570579
5.0	0.00541609991341829
5.1	0.00542234536260366
5.2	0.00542993890121579
5.3	0.0054371734149754
5.4	0.00544524565339088
5.5	0.00545296957716346
5.6	0.00546117452904582
5.7	0.00546873081475496
5.8	0.00547664286568761
5.9	0.00548490276560187
6.0	0.00549289071932435
6.1	0.00550053268671036
6.2	0.00550918374210596
6.3	0.00551751907914877
6.4	0.00552614219486713
6.5	0.00553460791707039
6.6	0.00554321333765984
6.7	0.00555222574621439
6.8	0.00556076876819134
6.9	0.00556919164955616
7.0	0.00557771837338805
7.1	0.00558623345568776
7.2	0.00559529894962907
7.3	0.00560499494895339
7.4	0.00561457220464945
7.5	0.00562308914959431
7.6	0.0056327823549509
7.7	0.00564178731292486
7.8	0.00565115921199322
7.9	0.00565973529592156
8.0	0.00566987227648497
8.1	0.00567871099337935
8.2	0.00568801257759333
8.3	0.00569760566577315
8.4	0.00570669304579496
8.5	0.00571648962795734
8.6	0.00572686642408371
8.7	0.00573624996468425
