group,ID,original,quiescent_current,voltage_gain,cutoff_frequency,current_slope,T150_aging
MAN,MAN01,True,5.38241332396865,27.052922776055503,568.6890470187703,8.85400031154023e-05,0.0
MAN,MAN02,True,5.296599026769396,27.080534844103408,568.9579735122046,8.77824533161445e-05,0.0
MAN,MAN03,True,5.3621988743543625,27.06379473570668,578.5757641920608,8.752699118917559e-05,0.0
MAN,MAN04,True,5.32745383679867,26.92608164491417,567.6840382432762,8.696503257591022e-05,0.0
MAN,MAN05,True,5.340591352432969,26.96793166959892,554.5732606130258,8.753908439556943e-05,0.0
MAN,MAN06,True,5.331475287675858,27.088047923000808,583.331980922386,8.834666980796254e-05,0.0
MAN,MAN07,True,5.384498275816438,27.016131360022097,530.0430970725336,8.820531720375662e-05,0.0
MAN,MAN08,True,5.379926227033137,27.05591878948517,567.0247602607176,8.82014512054418e-05,0.0
MAN,MAN09,True,5.449865572154522,27.08402998055778,560.4773052544173,8.853643306194978e-05,0.0
MAN,MAN10,True,5.347507167607547,27.075714200741,579.2604798675656,8.817751596902238e-05,0.0
MAN,MAN11,True,5.433062836527824,27.0963060962049,573.7212302631798,8.854868386920227e-05,0.0
MAN,MAN12,True,5.387986358255146,27.01513386891732,570.4108967541704,8.821865043340722e-05,0.0
MAN,MAN13,True,5.417353659868241,26.92645178002698,576.5163253845772,8.769569064513976e-05,0.0
MAN,MAN14,True,5.36165162920952,27.01986982517885,588.6548469271063,8.804322058352045e-05,0.0
MAN,MAN15,True,5.423794128000734,26.892518931235635,549.7864151466641,8.746098918079228e-05,0.0
MAN,MAN16,True,5.434152018278839,27.003926051635027,580.4797867611619,8.805066387507744e-05,0.0
MAN,MAN17,True,5.685000400990246,27.086756913456533,578.8122120210307,9.03762055985519e-05,0.0
MAN,MAN18,True,5.679786764085289,27.193729601734987,573.3215109504266,9.10391047053246e-05,0.0
MAN,MAN19,True,5.754163302481174,27.487927697394447,579.423856397344,9.099187340246916e-05,0.0
MAN,MAN20,True,5.690957326442003,26.952189038513986,493.470050190929,9.04963183842758e-05,0.0
MAM,MAM01,True,5.133195687085392,26.781216161216644,340.6816021227736,9.768446183422426e-05,0.0
MAM,MAM02,True,5.179911479353903,26.88852636562404,389.2894445429476,9.90867980675619e-05,0.0
MAM,MAM03,True,5.313295032829048,26.74030559937293,630.9383881835759,9.503524916937335e-05,0.0
MAM,MAM04,True,5.308860633522272,26.80036829518337,237.6884284022524,9.478929263969896e-05,0.0
MAM,MAM05,True,5.2834054455161095,26.821282257380915,630.3253972136222,9.51578469758876e-05,0.0
