group,ID,original,voltage_gain,cutoff_frequency
MAMX,MAMX01,True,26.834051062554142,641.1235691864358
MAMX,MAMX02,True,26.761879164087237,645.476173699535
MAMX,MAMX03,True,26.861855625812524,639.1815398362387
MAMX,MAMX04,True,26.839550687397644,640.4290979941348
MAMX,MAMX05,True,26.92177956543774,641.6932431806281
MAMX,MAMX06,True,26.84686707313363,642.2032645145089
MAMX,MAMX07,True,26.825634096437035,632.7904322939007
MAMX,MAMX08,True,26.818216838360115,636.053912051214
MAMX,MAMX09,True,26.8518958085029,631.8985330599354
MAMX,MAMX10,True,26.858793304082248,633.8114438488749
MAMX,MAMX11,True,26.9464816830481,632.053715849693
MAMX,MAMX12,True,26.934643006043142,630.530783908083
MAMX,MAMX13,True,26.92572323046653,626.6919220080326
MAMX,MAMX14,True,26.903686640429623,628.243248791613
MAMX,MAMX15,True,26.924932332785016,628.1584982786646
MAMX,MAMX16,True,26.961511448477165,626.0791528061656
MAMX,MAMX17,True,26.843277053734028,625.4013954009471
MAMX,MAMX18,True,26.905978835154592,624.8094373385778
MAMX,MAMX19,True,26.837293750193464,621.3083023851275
MAMX,MAMX20,True,26.897759513751232,632.7745192572248
