group,ID,original,quiescent_current,current_slope
RSAM,RSAM01,True,0.005142775271087886,9.482786896524671e-05
RSAM,RSAM02,True,0.005204219184815885,9.483966509435534e-05
RSAM,RSAM03,True,0.005238212458789348,9.48233262701817e-05
RSAM,RSAM04,True,0.005260036047548054,9.44243909647497e-05
RSAM,RSAM05,True,0.005224818084388972,9.627988449023342e-05
RSAM,RSAM06,True,0.005291439965367316,9.310028434686269e-05
RSAM,RSAM07,True,0.005239083990454673,9.36609522137074e-05
RSAM,RSAM08,True,0.005121644027531146,9.405024662483341e-05
RSAM,RSAM09,True,0.005260730255395174,9.425729426081166e-05
RSAM,RSAM10,True,0.0052632824517786485,9.310313180157048e-05
RSAM,RSAM11,True,0.0052557381801307205,9.32764271926941e-05
RSAM,RSAM12,True,0.005371604952961207,9.181229383056933e-05
RSAM,RSAM13,True,0.005302506778389215,9.303512057762387e-05
RSAM,RSAM14,True,0.005296927317976952,9.23476174154368e-05
RSAM,RSAM15,True,0.00532894218340516,9.219812575836615e-05
RSAM,RSAM16,True,0.005327637121081352,9.316570865203439e-05
RSAM,RSAM17,True,0.005373846739530562,9.192051691944852e-05
RSAM,RSAM18,True,0.005370286945253611,9.216528612371644e-05
RSAM,RSAM19,True,0.005380236264318229,9.229444471146189e-05
RSAM,RSAM20,True,0.005385719146579504,9.174803449731638e-05
RSAM,RSAM21,True,0.005242494121193886,9.53080011635871e-05
RSAM,RSAM22,True,0.005253316089510918,9.481414109114108e-05
RSAM,RSAM23,True,0.005147862900048495,9.514497710998447e-05
RSAM,RSAM24,True,0.00521752592176199,9.591185742609582e-05
RSAM,RSAM25,True,0.005186298210173844,9.531705691295445e-05
RSAM,RSAM26,True,0.00521030779927969,9.503503460520072e-05
RSAM,RSAM27,True,0.005200399272143842,9.425336832570974e-05
RSAM,RSAM28,True,0.005238831788301469,9.540296021223202e-05
RSAM,RSAM29,True,0.005238299537450076,9.39798619344244e-05
RSAM,RSAM30,True,0.0053145658224821105,9.372459936232127e-05
RSAM,RSAM31,True,0.005177927762269973,9.476727734377412e-05
RSAM,RSAM32,True,0.0052621137350797684,9.388470534213778e-05
RSAM,RSAM33,True,0.005278958566486836,9.282450682612385e-05
RSAM,RSAM34,True,0.005279796011745931,9.263652308443837e-05
RSAM,RSAM35,True,0.005356374476104974,9.219276339008929e-05
RSAM,RSAM36,True,0.0052848684601485745,9.128175980036218e-05
RSAM,RSAM37,True,0.005342077184468508,9.304794313099517e-05
RSAM,RSAM38,True,0.005346792750060558,9.361152306432943e-05
RSAM,RSAM39,True,0.005385854933410884,9.248289932970427e-05
RSAM,RSAM40,True,0.005356329027563332,9.283313508287208e-05
RSAM,RSAM41,True,0.005360555555671456,9.244409795257771e-05
RSAM,RSAM42,True,0.005289865098893642,9.637868426821404e-05
RSAM,RSAM43,True,0.0052271575666964065,9.750880979391898e-05
RSAM,RSAM44,True,0.005305809900164606,9.773449353546286e-05
RSAM,RSAM45,True,0.005209637805819512,9.767802982600443e-05
RSAM,RSAM46,True,0.005254195164889098,9.5964940350766e-05
RSAM,RSAM47,True,0.00515669109299779,9.531413695960784e-05
RSAM,RSAM48,True,0.00519549958407879,9.529061576855225e-05
RSAM,RSAM49,True,0.005282987281680104,9.598123898664626e-05
RSAM,RSAM50,True,0.00520104989409447,9.564746582740791e-05
