group,ID,original,quiescent_current,current_slope
MAMX,MAMX01,True,5.53437313064928,9.798101055431337e-05
MAMX,MAMX02,True,5.5052611045539,9.85081727202293e-05
MAMX,MAMX03,True,5.49567071720954,9.875224257062496e-05
MAMX,MAMX04,True,5.473378580063541,9.898534965603388e-05
MAMX,MAMX05,True,5.467873346060481,9.923585370923637e-05
MAMX,MAMX06,True,5.39258578792212,9.925241760874014e-05
MAMX,MAMX07,True,5.29774595051998,9.950255095517296e-05
MAMX,MAMX08,True,5.360271222889379,9.990318164639176e-05
MAMX,MAMX09,True,5.35785146057602,0.0001003857039108212
MAMX,MAMX10,True,5.36299776285882,0.0001004169629576473
MAMX,MAMX11,True,5.3337253630161,0.00010148393682690322
MAMX,MAMX12,True,5.34095233306284,0.00010116488560994792
MAMX,MAMX13,True,5.417190957814439,0.00010032468410883437
MAMX,MAMX14,True,5.4314809851348205,0.00010120741223166941
MAMX,MAMX15,True,5.39339138194914,0.0001014484452120157
MAMX,MAMX16,True,5.389515403658081,0.00010072808547240063
MAMX,MAMX17,True,5.366251803934519,0.00010195897945307942
MAMX,MAMX18,True,5.3529344499111,0.00010127780967875144
MAMX,MAMX19,True,5.34044746309514,0.00010173948134957268
MAMX,MAMX20,True,5.38498116657132,0.00010005940625563224
