Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
100	26.904406416635325	-0.01784597237221419
102.32929922807536	26.89988071852694	-0.01822645682139523
104.71285480508996	26.90851048773211	-0.01950836670491185
107.15193052376058	26.90347461530753	-0.05218091279849091
109.64781961431852	26.90372954684679	0.024971716471128502
112.2018454301963	26.913185928606175	0.006774907727674417
114.8153621496883	26.90185177452641	-0.04112242216521622
117.48975549395291	26.916260777078477	-0.04313503357171555
120.22644346174131	26.906101657876516	-0.053521422915811634
123.02687708123811	26.9110644614221	-0.04404643861242974
125.89254117941674	26.904338483475737	0.0024470180087590165
128.82495516931337	26.904947546965353	-0.027835956053792188
131.82567385564073	26.906653799559592	-0.06365871824903024
134.89628825916535	26.911305213769108	-0.027152765916369503
138.03842646028852	26.908082789685366	-0.02305374296044249
141.2537544622754	26.917439502637798	-0.035301074396301146
144.5439770745928	26.905373190996258	-0.02424009386350434
147.91083881682073	26.90570938302487	-0.0610284589346044
151.35612484362088	26.904110845552445	-0.03828822768696227
154.88166189124811	26.903200674682786	-0.051709561646276825
158.48931924611142	26.905770454558557	-0.02576878472564914
162.18100973589299	26.910808340243882	-0.05346890742343646
165.95869074375616	26.908634149250844	-0.047122487677413005
169.82436524617444	26.909381968880375	-0.0027436979162303032
173.78008287493762	26.905741193121525	-0.008685408569903075
177.82794100389228	26.90570360200195	-0.018177146585173887
181.97008586099827	26.905128806455558	-0.025517350508238223
186.20871366628677	26.90950137307921	-0.045177923935099784
190.5460717963248	26.904410298284528	-0.041691989974143695
194.98445997580455	26.9101657066996	-0.04098875978382921
199.52623149688787	26.904240794269306	-0.03772634891969062
204.17379446695296	26.90249542039006	-0.02677103027539829
208.92961308540387	26.90646678815704	-0.061822780727197824
213.79620895022325	26.905679262165044	-0.07318650578612562
218.77616239495518	26.90618767787946	-0.007884160117811234
223.872113856834	26.912710900760676	0.0032532983702431295
229.08676527677724	26.908741364200075	-0.054342987663858366
234.42288153199226	26.908978213471432	-0.0544471745276951
239.88329190194898	26.912064087018884	-0.04279811820464374
245.47089156850313	26.90253839830236	-0.04043498074524621
251.18864315095794	26.909776814714036	-0.11623334376940875
257.03957827688646	26.908498082656465	-0.03830090515563711
263.02679918953817	26.909334267721782	-0.057547875779675906
269.1534803926917	26.91098368268939	0.010633095478624455
275.4228703338166	26.901129596129486	-0.06994065856036968
281.8382931264455	26.906673528737258	-0.06283251926164723
288.40315031266056	26.90844371088657	-0.03859726380289885
295.1209226666384	26.90580970724147	-0.06511144623692644
301.99517204020157	26.90187903615722	-0.04871071917837355
309.0295432513592	26.902120066094724	-0.08292167374278847
316.22776601683796	26.90322826543596	-0.08954949398193968
323.5936569296281	26.89918414336461	-0.10635159282223938
331.1311214825911	26.90797931114231	-0.05831644088727117
338.8441561392027	26.90795795520483	-0.0664074231412144
346.7368504525317	26.904890644979602	-0.04569539380152321
